"sd.error","r2","waic","waic.dof","log.l","mu.coef","se.coef","CI.coef.1","CI.coef.2","t.stat","n.stars","ESS","rank"
"y",8.55591186497154e-06,0.999999999949752,-417.978003934274,68.0129902931785,440.761296584487,0.00132172853800477,0.00613724650731817,-0.010554257521325,0.013542977413587,0.21536181354761,0,10000,559
"X.1",8.55591186497154e-06,0.999999999949752,-417.978003934274,68.0129902931785,440.761296584487,-0.000138953562794201,0.420113059568513,-0.826683374794487,0.824551483711736,-0.000330752781017846,0,9772,995
"X.2",8.55591186497154e-06,0.999999999949752,-417.978003934274,68.0129902931785,440.761296584487,-0.000517013533104822,0.470376216649983,-0.919592723471206,0.934994838494088,-0.00109914896800478,0,10000,918
"X.3",8.55591186497154e-06,0.999999999949752,-417.978003934274,68.0129902931785,440.761296584487,0.00683388629843868,0.496650715838785,-0.980213595049863,0.97409284537124,0.0137599445253936,0,10000,881
"X.4",8.55591186497154e-06,0.999999999949752,-417.978003934274,68.0129902931785,440.761296584487,0.0033698877559375,0.520008501123212,-1.01237749071214,1.03036740294351,0.00648044743241424,0,10000,963
"X.5",8.55591186497154e-06,0.999999999949752,-417.978003934274,68.0129902931785,440.761296584487,0.0112447947127874,0.554644115788008,-1.07385872240782,1.09493271937911,0.020273891658999,0,10000,786
"X.6",8.55591186497154e-06,0.999999999949752,-417.978003934274,68.0129902931785,440.761296584487,-0.0076546595555971,0.577506998105772,-1.14885181662476,1.11756433566114,-0.0132546611222105,0,10000,782
"X.7",8.55591186497154e-06,0.999999999949752,-417.978003934274,68.0129902931785,440.761296584487,-0.000965998619539749,0.609712011886284,-1.17722124610084,1.2182739668,-0.0015843522855179,0,9353,791
"X.8",8.55591186497154e-06,0.999999999949752,-417.978003934274,68.0129902931785,440.761296584487,-0.000722388110971604,0.633249951641223,-1.24691169404248,1.24891227339913,-0.00114076299429532,0,10000,820
"X.9",8.55591186497154e-06,0.999999999949752,-417.978003934274,68.0129902931785,440.761296584487,-0.00485600263558565,0.666088592204599,-1.33277951128209,1.34024788489127,-0.00729032547984854,0,10000,806
"X.10",8.55591186497154e-06,0.999999999949752,-417.978003934274,68.0129902931785,440.761296584487,0.00250425606220876,0.698763551021361,-1.35643770821348,1.37225887100798,0.00358383899467619,0,9908,918
